ticker,liq_notional,adl_notional,total_notional,liq_events,adl_events,total_events,liq_pnl,adl_pnl,total_pnl
GRIFFAIN,183649.287837,61658.52183500001,245307.809672,60,24,84,-52751.798741,118028.832633,65277.033892
PNUT,166708.58503599997,54250.393670000005,220958.97870599997,36,16,52,-65164.102726000005,103546.384209,38382.28148299999
COMP,158411.363344,51514.111880000004,209925.47522400002,14,8,22,-34307.449494,46300.071154000005,11992.621660000004
GMX,160771.60555100002,33883.261167,194654.866718,36,24,60,-7562.409904,-6705.651132999999,-14268.061037
DYDX,192051.994902,2209.521638,194261.51654,22,8,30,-474576.376364,6034.407193,-468541.969171
AIXBT,139264.17278000002,44869.082736,184133.25551600003,52,36,88,-57340.804552,114287.501686,56946.697134
JTO,151681.954344,27961.43271,179643.387054,26,6,32,-94314.723497,47917.108651,-46397.614846
BANANA,132879.081096,46655.48736,179534.568456,31,25,56,-48984.104532,49291.38346,307.2789279999997
AI16Z,136859.492156,41684.325888,178543.81804399999,80,44,124,-104878.479378,147554.337916,42675.858537999986
DOOD,118810.58396399999,35870.71058,154681.294544,24,20,44,3451.372751,10577.325139,14028.69789
PYTH,126274.54289099999,27470.287779,153744.83067,39,21,60,-30952.635903,59678.467724,28725.831821000003
SUSHI,114540.116644,38669.487654,153209.604298,27,17,44,-53741.64529,55790.137885,2048.492594999996
MOVE,114894.10766000001,37259.453038,152153.56069800002,30,20,50,-17958.455109000002,58996.962716,41038.507607
APE,115956.928776,35430.153758,151387.082534,30,22,52,-44927.743498,76159.127965,31231.384467000003
BOME,106012.88410099999,37621.194703,143634.078804,41,37,78,-41079.480339,60385.713259,19306.232919999995
ME,105856.01945499999,35636.880636999995,141492.90009199997,12,6,18,-18613.992597,54216.664603000005,35602.67200600001
NXPC,104876.85625,35628.44364,140505.29989,25,21,46,-94527.780622,24959.848953,-69567.93166900001
kNEIRO,97473.814799,32835.591395,130309.40619400001,19,11,30,-18141.583434,50951.560201,32809.976767
IMX,114294.430754,14740.892064,129035.322818,41,15,56,-33061.00579,22395.877544000003,-10665.128246
REZ,117540.049956,0.0,117540.049956,4,0,4,-63922.091964,0.0,-63922.091964
TST,116656.30051,1.624928,116657.925438,9,1,10,-59213.151161,0.091876,-59213.059285
MINA,79639.93407500001,28150.883919000004,107790.81799400001,13,5,18,-11149.039906,23198.732677,12049.692771
BABY,77188.924458,23747.275238000002,100936.199696,40,36,76,-15025.797768999999,41516.037048,26490.239279
CFX,71929.200914,23977.062469999997,95906.26338399999,8,4,12,-6430.373893999999,26851.456453,20421.082559
ANIME,84723.93014200001,3032.66018,87756.59032200002,13,9,22,-88508.472237,5486.279888,-83022.19234899999
0G,82701.274844,0.0,82701.274844,2,0,2,-18720.316352,0.0,-18720.316352
SCR,58474.439777,17117.273494999998,75591.713272,34,22,56,17855.762907999997,-22181.965141,-4326.202233000004
USUAL,55850.151120999995,17493.874378999997,73344.02549999999,26,8,34,-46034.814406,52318.738807,6283.924401000004
MOODENG,44579.864307,25068.942815000002,69648.807122,14,6,20,-10503.293062,29741.423357,19238.130295
RSR,49270.434767,13047.939267000002,62318.374034,19,7,26,-21427.423585,20566.466863,-860.956721999999
PROVE,44864.17909,14926.61109,59790.790179999996,13,11,24,-702.43055,10312.73126,9610.30071
NOT,53864.790576,49.335,53914.125576,5,1,6,-175031.712114,130.525,-174901.187114
BLUR,46349.758325999996,0.0,46349.758325999996,6,0,6,-16059.045327,0.0,-16059.045327
XAI,34187.923957,9844.775217,44032.699174,18,14,32,-9189.123689,10963.444833,1774.3211439999995
GOAT,31014.327632,10043.877584000002,41058.205216,21,19,40,5890.996531999999,-46526.140994,-40635.144462000004
TRB,31398.797222,9049.179689999999,40447.976912,30,26,56,6072.618208,-14112.17331,-8039.555102
MANTA,29506.204106,8420.423952,37926.628058,30,24,54,-2009.3224900000002,8502.984105,6493.661614999999
GMT,27402.583872,9397.5968,36800.180672,20,16,36,-4464.02204,6558.255896,2094.233856
IOTA,35311.954612,0.0,35311.954612,4,0,4,-16702.992272,0.0,-16702.992272
kLUNC,27281.648830000002,7536.1049,34817.753730000004,10,8,18,-9669.499632000001,9579.394008000001,-90.1056239999998
YGG,26819.960417000002,5168.617531,31988.577948000002,8,2,10,-7996.539857,1557.577087,-6438.96277
ALT,23961.871242,7178.309714000001,31140.180956000004,32,26,58,2202.721917,-19614.297026,-17411.575109
DYM,23249.914989999997,6646.63593,29896.550919999998,9,7,16,-9117.279094,16689.695467,7572.416373000002
LAYER,22088.529842,6044.351350000001,28132.881192,20,12,32,-9464.827900999999,23854.110374,14389.282473000001
ZETA,19204.294396999998,5830.748878999999,25035.043275999997,19,15,34,1580.849254,-4893.582515,-3312.7332610000003
